crop_category,soil_category,rainfall_category,Pathway,NH4_load,P_load
0.0,0,0,0,,4.22299213155575e-07
0.0,0,0,1,,8.747453297366943e-07
0.0,0,1,0,,5.86744146985863e-07
0.0,0,1,1,,9.174396952895216e-07
0.0,0,2,0,,9.14844311184665e-07
0.0,0,2,1,,1.9838536705690164e-06
0.0,0,3,0,,1.48122910239403e-06
0.0,0,3,1,,3.665159860623307e-06
0.0,0,4,0,,2.1502015292056703e-06
0.0,0,4,1,,5.665460502634171e-06
0.0,0,5,0,,3.57689986634833e-06
0.0,0,5,1,,1.0898971837250668e-05
0.0,1,0,0,,4.09926481477544e-07
0.0,1,0,1,,1.672837752732312e-06
0.0,1,1,0,,5.75013386467042e-07
0.0,1,1,1,,1.359804344143236e-06
0.0,1,2,0,,8.85389166097627e-07
0.0,1,2,1,,2.2218445172337405e-06
0.0,1,3,0,,1.4133847893843203e-06
0.0,1,3,1,,3.56515499433286e-06
0.0,1,4,0,,2.07436813488817e-06
0.0,1,4,1,,6.786877056009884e-06
0.0,1,5,0,,3.81077633847854e-06
0.0,1,5,1,,9.919955610798486e-06
0.0,2,0,0,,4.28239025541223e-07
0.0,2,0,1,,1.020595331200271e-06
0.0,2,1,0,,5.97509493143068e-07
0.0,2,1,1,,1.134939526654539e-06
0.0,2,2,0,,9.03801724100203e-07
0.0,2,2,1,,1.662921921133468e-06
0.0,2,3,0,,1.4962320930144502e-06
0.0,2,3,1,,2.371157828393455e-06
0.0,2,4,0,,2.19778336814585e-06
0.0,2,4,1,,3.69515273753882e-06
0.0,2,5,0,,3.44270799922864e-06
0.0,2,5,1,,6.506370690197947e-06
1.0,0,0,0,,2.29181030312141e-06
1.0,0,0,1,7.541228165437384e-06,2.0935129968473456e-06
1.0,0,1,0,,4.625462631216928e-06
1.0,0,1,1,6.539237183402163e-06,1.918552138673844e-06
1.0,0,2,0,,4.48298381195657e-06
1.0,0,2,1,1.4232212378822604e-05,5.369598200330872e-06
1.0,0,3,0,,7.64387608768453e-06
1.0,0,3,1,1.912573103638725e-05,5.621444787533513e-06
1.0,0,4,0,,9.90191101255507e-06
1.0,0,4,1,2.631086860762001e-05,7.570263991930366e-06
1.0,0,5,0,,1.49306075492175e-05
1.0,0,5,1,4.9853138042922666e-05,1.3396708772218949e-05
1.0,1,0,0,3.99048382711329e-05,8.289485586158912e-06
1.0,1,0,1,1.2070094969963778e-05,3.1069290808612405e-06
1.0,1,1,0,5.023828783033796e-05,9.616622736797427e-06
1.0,1,1,1,9.507926905757649e-06,2.6319614410654635e-06
1.0,1,2,0,6.380207461543979e-05,1.1351114054340535e-05
1.0,1,2,1,1.571511111698688e-05,4.3964523894538565e-06
1.0,1,3,0,9.18287520367402e-05,1.5041825522639654e-05
1.0,1,3,1,2.4750116861287745e-05,6.942990129159814e-06
1.0,1,4,0,0.0001287654052071,1.981408107532302e-05
1.0,1,4,1,3.214623000771166e-05,9.085600469949104e-06
1.0,1,5,0,0.0001665971180614,2.546093324527946e-05
1.0,1,5,1,6.031954935295393e-05,1.6301323914136458e-05
1.0,2,0,0,6.734466960607789e-05,1.2765950097773766e-05
1.0,2,0,1,6.38217090374324e-06,1.9533174463630366e-06
1.0,2,1,0,8.724244071324438e-05,1.4497248056789004e-05
1.0,2,1,1,7.083105274958578e-06,2.125849791515616e-06
1.0,2,2,0,0.0001109931279815,1.6740395924640755e-05
1.0,2,2,1,1.0012246516888928e-05,3.0381167088611346e-06
1.0,2,3,0,0.0001487369618051,2.070287501152361e-05
1.0,2,3,1,1.3331061627704537e-05,4.244256825276261e-06
1.0,2,4,0,0.0002074707055174,2.7082740987420645e-05
1.0,2,4,1,1.5304811863780574e-05,5.028392895708898e-06
1.0,2,5,0,0.0003025734587565,3.520006365537537e-05
1.0,2,5,1,3.0706382121268974e-05,9.411744792874374e-06
2.0,0,0,0,,2.7279261385296e-06
2.0,0,0,1,5.306162705564926e-06,2.461045071485105e-06
2.0,0,1,0,,3.6673808021486e-06
2.0,0,1,1,4.629565685615109e-06,2.2897335898505634e-06
2.0,0,2,0,,5.2830282050684e-06
2.0,0,2,1,1.0161559379972348e-05,4.762165047781899e-06
2.0,0,3,0,,7.707875456499321e-06
2.0,0,3,1,1.3764149501638346e-05,6.610604445564958e-06
2.0,0,4,0,,1.1550361022498698e-05
2.0,0,4,1,1.905522872738634e-05,8.605654402501587e-06
2.0,0,5,0,,1.76791939065202e-05
2.0,0,5,1,3.63259938402131e-05,1.4705466125044693e-05
2.0,1,0,0,3.0443644421384663e-05,6.978514783556667e-06
2.0,1,0,1,8.591060455719437e-06,3.5832860762746627e-06
2.0,1,1,0,3.841982167747463e-05,8.415275491230224e-06
