code,category,crop_category
WPP,RoughGrazing,0.0
BBG,RoughGrazing,0.0
LRB,RoughGrazing,0.0
LSP,RoughGrazing,0.0
U21,RoughGrazing,0.0
CSD,RoughGrazing,0.0
CVS,RoughGrazing,0.0
U15,RoughGrazing,0.0
LHL,RoughGrazing,0.0
U22,RoughGrazing,0.0
AC00,SpringCereal,1.0
AC01,SpringCereal,1.0
AC03,SugarBeet,2.0
AC04,SpringCereal,1.0
AC05,SpringCereal,1.0
AC06,SpringCereal,1.0
AC07,Veg,3.0
AC10,SpringCereal,1.0
AC100,Grass,4.0
AC15,Veg,3.0
AC16,SpringCereal,1.0
AC17,Maize,5.0
AC18,SpringCereal,1.0
AC19,SpringCereal,1.0
AC20,Veg,3.0
AC22,Veg,3.0
AC23,Veg,3.0
AC24,SpringCereal,1.0
AC27,Fruit,6.0
AC30,SpringCereal,1.0
AC32,SpringCereal,1.0
AC34,Veg,3.0
AC35,Veg,3.0
AC36,OSR,7.0
AC37,SpringCereal,1.0
AC38,SpringCereal,1.0
AC44,Potatoes,8.0
AC50,Fodder,9.0
AC58,SpringCereal,1.0
AC59,SpringCereal,1.0
AC60,SpringCereal,1.0
AC61,SpringCereal,1.0
AC62,SpringCereal,1.0
AC63,WinterCereal,10.0
AC64,OSR,7.0
AC65,WinterCereal,10.0
AC66,WinterCereal,10.0
AC67,OSR,7.0
AC68,WinterCereal,10.0
AC69,WinterCereal,10.0
AC70,Veg,3.0
AC71,SpringCereal,1.0
AC81,SpringCereal,1.0
LG01,Peas,11.0
LG02,Peas,11.0
LG03,Beans,12.0
LG04,Beans,12.0
LG06,Peas,11.0
LG07,Peas,11.0
LG08,Peas,11.0
LG09,Peas,11.0
LG11,Beans,12.0
LG14,Peas,11.0
LG15,Peas,11.0
LG16,Peas,11.0
LG20,Beans,12.0
LG21,Peas,11.0
TC01,SpringCereal,1.0
U1,SpringCereal,1.0
U10,SpringCereal,1.0
U11,SpringCereal,1.0
U12,WinterCereal,10.0
U13,Fodder,9.0
U14,SpringCereal,1.0
U2,SpringCereal,1.0
U23,SpringCereal,1.0
U3,Veg,3.0
U4,Veg,3.0
U5,Fruit,6.0
U6,Veg,3.0
U7,SpringCereal,1.0
U8,SpringCereal,1.0
U9,SpringCereal,1.0
UCG,RoughGrazing,0.0
LAG,RoughGrazing,0.0
U17,RoughGrazing,0.0
LCG,RoughGrazing,0.0
MCS,RoughGrazing,0.0
U16,RoughGrazing,0.0
UHM,RoughGrazing,0.0
Buffer,RoughGrazing,0.0
Flower_Marg,RoughGrazing,0.0
UHL,RoughGrazing,0.0
LI_Grass,RoughGrazing,0.0
LMW,RoughGrazing,0.0
U18,RoughGrazing,0.0
FA01,Fallow,13.0
HE02,RoughGrazing,0.0
PG01,Grass,4.0
U20,RoughGrazing,0.0
RBD,RoughGrazing,0.0
HEAT,RoughGrazing,0.0
Hedgerows,RoughGrazing,0.0
COAST,RoughGrazing,0.0
coastal,RoughGrazing,0.0
CSM,RoughGrazing,0.0
TRO,RoughGrazing,0.0
LFN,RoughGrazing,0.0
PMG,RoughGrazing,0.0
RIV,RoughGrazing,0.0
UFS,RoughGrazing,0.0
BLB,Woodland,14.0
BLP,Woodland,14.0
SR01,Woodland,14.0
WWD,Woodland,14.0
CON,Woodland,14.0
MIX,Woodland,14.0
SRF,Woodland,14.0
WO12,Woodland,14.0
Wood,Woodland,14.0
ASNW,Woodland,14.0
BLX,Woodland,14.0
YTR,Woodland,14.0
SHR,Woodland,14.0
