OPCAT_ID,crop_category,livestock_category,excreta_per_ha
3005,-1,1,0.0
3005,-1,2,0.0
3005,-1,3,0.0018036865158031381
3005,-1,4,0.0
3005,-1,5,0.013598857074796982
3005,0,1,0.0
3005,0,2,0.0
3005,0,3,0.0
3005,0,4,1.1518346352452862
3005,0,5,0.0
3005,4,1,4.108867961901167
3005,4,2,0.059148354348482535
3005,4,3,0.0018036865158031381
3005,4,4,5.7591731762264375
3005,4,5,0.013598857074796982
3006,-1,1,0.0
3006,-1,2,0.0
3006,-1,3,0.0932188353883864
3006,-1,4,0.0
3006,-1,5,0.0021966092815481598
3006,0,1,0.0
3006,0,2,0.0
3006,0,3,0.0
3006,0,4,1.6189919293506696
3006,0,5,0.0
3006,4,1,9.322603581522976
3006,4,2,0.0034188991511308604
3006,4,3,0.0932188353883864
3006,4,4,8.094959646753365
3006,4,5,0.0021966092815481598
3008,-1,1,0.0
3008,-1,2,0.0
3008,-1,3,0.053455353928738535
3008,-1,4,0.0
3008,-1,5,0.4908984260560774
3008,0,1,0.0
3008,0,2,0.0
3008,0,3,0.0
3008,0,4,0.6491842602435266
3008,0,5,0.0
3008,4,1,5.271192063873227
3008,4,2,0.04413384343658617
3008,4,3,0.053455353928738535
3008,4,4,3.245921301217539
3008,4,5,0.4908984260560774
3012,-1,1,0.0
3012,-1,2,0.0
3012,-1,3,0.9490988442049353
3012,-1,4,0.0
3012,-1,5,0.8624385429512201
3012,0,1,0.0
3012,0,2,0.0
3012,0,3,0.0
3012,0,4,0.772865567053709
3012,0,5,0.0
3012,4,1,12.469432215896992
3012,4,2,0.34486024171034657
3012,4,3,0.9490988442049353
3012,4,4,3.864327835268559
3012,4,5,0.8624385429512201
3014,-1,1,0.0
3014,-1,2,0.0
3014,-1,3,0.3957676986848525
3014,-1,4,0.0
3014,-1,5,2.26324354588836
3014,0,1,0.0
3014,0,2,0.0
3014,0,3,0.0
3014,0,4,1.7314898445401858
3014,0,5,0.0
3014,4,1,13.688943301483551
3014,4,2,4.04207549213208
3014,4,3,0.3957676986848525
3014,4,4,8.657449222701104
3014,4,5,2.26324354588836
3018,-1,1,0.0
3018,-1,2,0.0
3018,-1,3,0.15416294531495806
3018,-1,4,0.0
3018,-1,5,0.4674269287241236
3018,0,1,0.0
3018,0,2,0.0
3018,0,3,0.0
3018,0,4,1.20116019390525
3018,0,5,0.0
3018,4,1,8.055461194390197
3018,4,2,4.433049870984912
3018,4,3,0.15416294531495806
3018,4,4,6.005800969526219
3018,4,5,0.4674269287241236
3020,-1,1,0.0
3020,-1,2,0.0
3020,-1,3,0.46989568264408094
3020,-1,4,0.0
3020,-1,5,0.3286161649960893
3020,0,1,0.0
3020,0,2,0.0
3020,0,3,0.0
3020,0,4,1.5515504163091702
3020,0,5,0.0
3020,4,1,10.403139820655571
3020,4,2,4.078419558459439
3020,4,3,0.46989568264408094
3020,4,4,7.757752081545826
3020,4,5,0.3286161649960893
3021,-1,1,0.0
3021,-1,2,0.0
3021,-1,3,0.34686334323759177
3021,-1,4,0.0
3021,-1,5,0.16012292847227785
3021,0,1,0.0
3021,0,2,0.0
3021,0,3,0.0
3021,0,4,1.1321634207928533
3021,0,5,0.0
3021,4,1,10.379791225068592
3021,4,2,2.7357913195934938
3021,4,3,0.34686334323759177
3021,4,4,5.660817103964119
3021,4,5,0.16012292847227785
3022,-1,1,0.0
3022,-1,2,0.0
3022,-1,3,1.9906211275415961
3022,-1,4,0.0
3022,-1,5,0.33106325770555645
3022,0,1,0.0
3022,0,2,0.0
3022,0,3,0.0
3022,0,4,0.9730550848556593
3022,0,5,0.0
3022,4,1,13.080889431129652
3022,4,2,5.195619224767515
3022,4,3,1.9906211275415961
3022,4,4,4.8652754242783445
3022,4,5,0.33106325770555645
3025,-1,1,0.0
3025,-1,2,0.0
3025,-1,3,4.83249771194403
3025,-1,4,0.0
3025,-1,5,0.6583373522819277
3025,0,1,0.0
3025,0,2,0.0
3025,0,3,0.0
3025,0,4,0.775935495284857
3025,0,5,0.0
3025,4,1,29.46835202831945
3025,4,2,3.842820006442863
3025,4,3,4.83249771194403
3025,4,4,3.879677476424232
3025,4,5,0.6583373522819277
3027,-1,1,0.0
3027,-1,2,0.0
3027,-1,3,0.0
3027,-1,4,0.0
3027,-1,5,0.0
3027,0,1,0.0
3027,0,2,0.0
3027,0,3,0.0
3027,0,4,0.0
3027,0,5,0.0
3027,4,1,0.0
3027,4,2,0.0
3027,4,3,0.0
3027,4,4,0.0
3027,4,5,0.0
3028,-1,1,0.0
3028,-1,2,0.0
3028,-1,3,0.4888175532597809
3028,-1,4,0.0
3028,-1,5,0.6533487158234638
3028,0,1,0.0
3028,0,2,0.0
3028,0,3,0.0
3028,0,4,1.0359056409481098
3028,0,5,0.0
3028,4,1,7.499098661457689
3028,4,2,2.6937317043795406
3028,4,3,0.4888175532597809
3028,4,4,5.179528204740514
3028,4,5,0.6533487158234638
3029,-1,1,0.0
3029,-1,2,0.0
3029,-1,3,0.1337903612749318
3029,-1,4,0.0
3029,-1,5,0.19018008832013064
3029,0,1,0.0
3029,0,2,0.0
3029,0,3,0.0
3029,0,4,1.2280380352387568
3029,0,5,0.0
3029,4,1,6.992536232959122
3029,4,2,10.669852642416952
3029,4,3,0.1337903612749318
3029,4,4,6.140190176193793
3029,4,5,0.19018008832013064
3030,-1,1,0.0
3030,-1,2,0.0
3030,-1,3,0.2171488859646124
3030,-1,4,0.0
3030,-1,5,0.03916531617994548
3030,0,1,0.0
3030,0,2,0.0
3030,0,3,0.0
3030,0,4,1.3432019663352874
3030,0,5,0.0
3030,4,1,11.700004622269725
3030,4,2,0.4179260632138709
3030,4,3,0.2171488859646124
3030,4,4,6.716009831676429
3030,4,5,0.03916531617994548
3031,-1,1,0.0
3031,-1,2,0.0
3031,-1,3,0.23778472253682423
3031,-1,4,0.0
3031,-1,5,2.343506827266906
3031,0,1,0.0
3031,0,2,0.0
3031,0,3,0.0
3031,0,4,1.216409881917029
3031,0,5,0.0
3031,4,1,5.83871763047359
3031,4,2,5.663783871166062
3031,4,3,0.23778472253682423
3031,4,4,6.082049409584999
3031,4,5,2.343506827266906
3032,-1,1,0.0
3032,-1,2,0.0
3032,-1,3,0.0
3032,-1,4,0.0
3032,-1,5,0.0
3032,0,1,0.0
3032,0,2,0.0
3032,0,3,0.0
3032,0,4,0.0
3032,0,5,0.0
3032,4,1,0.0
3032,4,2,0.0
3032,4,3,0.0
3032,4,4,0.0
3032,4,5,0.0
3033,-1,1,0.0
3033,-1,2,0.0
3033,-1,3,0.05520431683671552
3033,-1,4,0.0
3033,-1,5,0.10013980365885167
3033,0,1,0.0
3033,0,2,0.0
3033,0,3,0.0
3033,0,4,0.8487368535035481
3033,0,5,0.0
3033,4,1,9.123930865759913
3033,4,2,14.445446698334445
3033,4,3,0.05520431683671552
3033,4,4,4.24368426751787
3033,4,5,0.10013980365885167
3034,-1,1,0.0
3034,-1,2,0.0
3034,-1,3,0.26566520987978315
3034,-1,4,0.0
3034,-1,5,0.2937803994807937
3034,0,1,0.0
3034,0,2,0.0
3034,0,3,0.0
3034,0,4,0.3639793149848896
3034,0,5,0.0
3034,4,1,9.710167750529818
3034,4,2,0.38417313344844695
3034,4,3,0.26566520987978315
3034,4,4,1.8198965749244962
3034,4,5,0.2937803994807937
3035,-1,1,0.0
3035,-1,2,0.0
3035,-1,3,0.32127468384027513
3035,-1,4,0.0
3035,-1,5,0.4081619731887007
3035,0,1,0.0
3035,0,2,0.0
3035,0,3,0.0
3035,0,4,0.5264771964844311
3035,0,5,0.0
3035,4,1,13.050712742859735
3035,4,2,18.789474596786487
3035,4,3,0.32127468384027513
3035,4,4,2.632385982422052
3035,4,5,0.4081619731887007
3036,-1,1,0.0
3036,-1,2,0.0
3036,-1,3,0.00602642463464832
3036,-1,4,0.0
3036,-1,5,0.01150159801715302
3036,0,1,0.0
3036,0,2,0.0
3036,0,3,0.0
3036,0,4,0.9356533337248857
3036,0,5,0.0
3036,4,1,7.4511815429865935
3036,4,2,1.1748632421816276
3036,4,3,0.00602642463464832
3036,4,4,4.678266668624447
3036,4,5,0.01150159801715302
3038,-1,1,0.0
3038,-1,2,0.0
3038,-1,3,0.4932409446320212
3038,-1,4,0.0
3038,-1,5,0.407492346996467
3038,0,1,0.0
3038,0,2,0.0
3038,0,3,0.0
3038,0,4,0.8555132958097639
3038,0,5,0.0
3038,4,1,7.293427053535825
3038,4,2,7.567924625550373
3038,4,3,0.4932409446320212
3038,4,4,4.277566479048595
3038,4,5,0.407492346996467
3039,-1,1,0.0
3039,-1,2,0.0
3039,-1,3,0.13196521424215163
3039,-1,4,0.0
3039,-1,5,0.3379784577274698
3039,0,1,0.0
3039,0,2,0.0
3039,0,3,0.0
3039,0,4,0.8079183821606194
3039,0,5,0.0
3039,4,1,6.910947737543598
3039,4,2,8.29006217653034
3039,4,3,0.13196521424215163
3039,4,4,4.039591910803158
3039,4,5,0.3379784577274698
3042,-1,1,0.0
3042,-1,2,0.0
3042,-1,3,0.04379231144180606
3042,-1,4,0.0
3042,-1,5,0.4530660878894985
3042,0,1,0.0
